no,group,l,t,r,b
0,area1,417,421,480,484
1,area1,491,421,554,484
2,area1,417,489,480,552
3,area1,491,489,554,552
4,area1,417,558,480,621
5,area1,491,558,554,621
6,area1,417,630,480,693
7,area1,491,630,554,693
8,area1,417,739,480,802
9,area1,491,739,554,802
10,area1,415,888,478,951
11,area1,489,888,552,951
12,area1,415,997,478,1060
13,area1,489,997,552,1060
14,area1,413,1110,476,1173
15,area1,487,1110,550,1173
16,area1,414,1223,477,1286
17,area1,488,1223,551,1286
18,area1,414,1321,477,1384
19,area1,488,1321,551,1384
20,area2,734,422,797,485
21,area2,820,422,883,485
22,area2,909,422,972,485
23,area2,993,423,1056,486
24,area2,1072,423,1135,486
25,area2,1150,423,1213,486
26,area2,733,530,796,593
27,area2,819,530,882,593
28,area2,908,530,971,593
29,area2,994,530,1057,593
30,area2,1073,530,1136,593
31,area2,1151,530,1214,593
32,area3,1380,403,1443,466
33,area3,1467,401,1530,464
34,area3,1548,401,1611,464
35,area3,1628,402,1691,465
36,area3,1709,402,1772,465
37,area3,1380,473,1443,536
38,area3,1467,471,1530,534
39,area3,1548,471,1611,534
40,area3,1628,472,1691,535
41,area3,1709,472,1772,535
42,area3,1378,546,1441,609
43,area3,1465,544,1528,607
44,area3,1546,544,1609,607
45,area3,1626,545,1689,608
46,area3,1707,545,1770,608
47,area4,1072,737,1135,800
48,area4,1150,737,1213,800
49,area4,1073,860,1136,923
50,area4,1151,860,1214,923
51,area4,1073,970,1136,1033
52,area4,1151,970,1214,1033
53,area5,1546,739,1609,802
54,area5,1627,739,1690,802
55,area5,1709,739,1772,802
56,area5,1548,819,1611,882
57,area5,1711,819,1774,882
58,area5,1548,907,1611,970
59,area5,1629,907,1692,970
60,area5,1711,907,1774,970
61,area5,1548,980,1611,1043
62,area5,1629,980,1692,1043
63,area5,1711,980,1774,1043
64,area5,1548,1065,1611,1128
65,area5,1629,1065,1692,1128
66,area5,1711,1065,1774,1128
67,area5,1548,1150,1611,1213
68,area5,1629,1150,1692,1213
69,area5,1711,1150,1774,1213
70,area6,717,1160,780,1223
71,area6,795,1160,858,1223
72,area6,876,1160,939,1223
73,area6,1000,1160,1063,1223
74,area6,1085,1160,1148,1223
75,area6,1000,1249,1063,1312
76,area6,1085,1249,1148,1312
77,area6,1177,1249,1240,1312
78,area6,1000,1353,1063,1416
79,area6,1085,1353,1148,1416
80,area6,1177,1353,1240,1416
81,area6,1000,1444,1063,1507
82,area6,1085,1444,1148,1507
83,area6,1177,1444,1240,1507
84,area7,1477,1249,1540,1312
85,area7,1567,1249,1630,1312
